id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11282156,Modern East Side Home with Game Room,58931466,Luke,,78702,30.26806,-97.7051,Entire home/apt,533,2,31,2020-07-05,0.36,1,260,0,
11291196,2/2 Bright Apt. 5 Min from Downtown,5210072,Lara,,78703,30.2879,-97.77265,Entire home/apt,350,3,1,2016-03-17,0.01,1,0,0,
11292516,SXSW--1 Bedroom Hyde Park Apt,59004821,Leslie,,78751,30.30209,-97.73526,Entire home/apt,250,3,0,,,1,0,0,
11294317,"Cozy, Private Apartment",34924363,Whitney,,78741,30.23261,-97.73746,Entire home/apt,250,2,6,2016-08-29,0.07,1,0,0,
11298869,SXSW Luxury Apartment 5 min from DT,52746810,Yash,,78705,30.29307,-97.72182,Entire home/apt,800,4,0,,,1,0,0,
11302252,Middle of DT/ 2blks to 6th & conv,43301105,Willie,,78701,30.26633,-97.7431,Entire home/apt,850,1,4,2017-03-16,0.05,1,0,0,
11303550,"Charming Hyde Park bungalow, minutes from downtown",59086855,Elise,,78705,30.2958,-97.72921,Entire home/apt,140,2,12,2022-03-20,0.20,1,0,2,
11303741,Luxury accomodation in Westlake,59089695,Christi,,78746,30.31102,-97.78918,Entire home/apt,1500,1,0,,,1,0,0,
11306510,Condo on S Congress,59111874,Mike,,78745,30.19921,-97.77768,Entire home/apt,55,2,35,2019-03-30,0.41,1,0,0,
11318454,Cozy Eastside Cottage Near Downtown,413922,Christa,,78702,30.26237,-97.71685,Entire home/apt,200,2,1,2016-03-21,0.01,1,0,0,
11323660,ACL Walkable house sleeps 5 people! Available now!,2308662,Jean-Pierre,,78704,30.25586,-97.78097,Entire home/apt,300,3,20,2022-10-17,0.25,1,364,2,
11324822,"3 bd/3ba, SXSW/ Spring Break Escape",59245152,Tara,,78723,30.29352,-97.70431,Entire home/apt,1000,3,0,,,1,0,0,
11325012,Charming Home w/ New Studio in South Austin,10368010,Russell And Alli,,78704,30.23391,-97.76851,Entire home/apt,92,2,29,2018-01-28,0.37,1,0,0,
11325599,5★ Restored Vintage Airstream- a hip retreat!,1833254,Leyla,,78723,30.28518,-97.69635,Entire home/apt,59,1,396,2023-02-20,4.64,2,161,80,
11330408,The SoCo Airstream is so fun! #23  with free bikes,23072158,Denise,,78704,30.22941,-97.74526,Entire home/apt,139,2,298,2022-10-30,3.64,3,251,29,
11337722,Private Room in NW Austin,45235446,Andrew,,78750,30.43354,-97.77293,Private room,42,1,22,2020-02-17,0.26,1,0,0,
11341347,1 BR Hyde Park condo,59365734,Jeremy,,78751,30.30665,-97.72933,Entire home/apt,85,1,0,,,1,0,0,
11341479,** SXSW home in East Austin - Walk Everywhere *,31367208,Teresa,,78702,30.2585,-97.71499,Entire home/apt,1600,1,2,2017-03-15,0.02,1,0,0,
11352087,Comfy Room at Artistic North Austin Home,59452947,Gabriel,,78728,30.45951,-97.68227,Private room,27,1,12,2018-12-25,0.15,1,0,0,
11360943,Artist loft studio,17436788,Bay,,78734,30.41977,-97.92397,Entire home/apt,150,2,206,2023-03-12,2.43,1,164,18,
11362264,"Spacious, Quiet Studio for two",15403953,Ankita,,78705,30.29008,-97.75042,Entire home/apt,60,1,3,2016-02-28,0.03,1,0,0,
11369999,Experience Austin Glamping! -#MotelCamper,44887644,Chris,,78751,30.31286,-97.71364,Entire home/apt,88,1,184,2017-10-02,2.15,4,0,0,
11373188,"Downtown Private Pool: Walk to Rainey, 6th, & Lake",5854631,Sam,,78702,30.25481,-97.73519,Entire home/apt,119,5,9,2021-01-03,0.13,1,0,0,
11374424,Charming Apartment near UT - A,2559011,Terry,,78705,30.29698,-97.73114,Entire home/apt,60,30,25,2023-02-18,0.29,1,289,3,
11377313,Private room in cozy duplex,59646051,Judy,,78759,30.42519,-97.76488,Private room,75,1,1,2016-03-17,0.01,1,0,0,
